Date,Development Activity,Dev. Activity Contributors Count,Dev. Activity (Cryptocurrency),Dev. Activity (Bitcoin)
2018-04-01T00:00:00.000Z,41.86,5,320.43,103.57
2018-04-02T00:00:00.000Z,42.14,17,329.86,102.71
2018-04-03T00:00:00.000Z,37.29,13,310.86,98.86
2018-04-04T00:00:00.000Z,36.71,19,296,89.43
2018-04-05T00:00:00.000Z,43.14,21,311.71,99.86
2018-04-06T00:00:00.000Z,42.86,13,303,105.71
2018-04-07T00:00:00.000Z,44.71,6,300.14,108
2018-04-08T00:00:00.000Z,48.14,11,301.57,112
2018-04-09T00:00:00.000Z,51,18,304.57,120
2018-04-10T00:00:00.000Z,59.14,14,320,126
2018-04-11T00:00:00.000Z,62.86,17,333.57,130.14
2018-04-12T00:00:00.000Z,59.71,19,313.57,119.29
2018-04-13T00:00:00.000Z,61.43,18,314.14,116.43
2018-04-14T00:00:00.000Z,59.57,9,308.57,111.29
2018-04-15T00:00:00.000Z,54.57,5,296.43,106.71
2018-04-16T00:00:00.000Z,53,15,292.29,104.14
2018-04-17T00:00:00.000Z,56.43,18,306.43,112.14
2018-04-18T00:00:00.000Z,56.71,19,310.71,122.43
2018-04-19T00:00:00.000Z,55.86,17,326.43,125.29
2018-04-20T00:00:00.000Z,57.57,21,336.71,129.43
2018-04-21T00:00:00.000Z,56.86,5,339.14,128.86
2018-04-22T00:00:00.000Z,57.14,5,344.43,128.71
2018-04-23T00:00:00.000Z,57.86,17,350.86,127
2018-04-24T00:00:00.000Z,54.86,13,349.86,117.71
2018-04-25T00:00:00.000Z,50.14,15,446.57,103
2018-04-26T00:00:00.000Z,51.43,20,472.29,98.86
2018-04-27T00:00:00.000Z,46.43,14,458.43,96.14
2018-04-28T00:00:00.000Z,48,7,470,96.43
2018-04-29T00:00:00.000Z,48.86,8,493,101.29
2018-04-30T00:00:00.000Z,47.14,18,481.43,94.57
2018-05-01T00:00:00.000Z,41.86,12,466.86,92.43
2018-05-02T00:00:00.000Z,44.86,14,371.43,101.71
2018-05-03T00:00:00.000Z,41.71,10,345.29,100.43
2018-05-04T00:00:00.000Z,40,8,354,98.43
2018-05-05T00:00:00.000Z,39.86,8,354.86,101
2018-05-06T00:00:00.000Z,39.86,5,330.71,99
2018-05-07T00:00:00.000Z,39.71,13,342,104
2018-05-08T00:00:00.000Z,36.43,11,345.57,103.86
2018-05-09T00:00:00.000Z,41.43,21,355.14,108.14
2018-05-10T00:00:00.000Z,40.86,12,361.57,102
2018-05-11T00:00:00.000Z,40.86,8,367.57,107.57
2018-05-12T00:00:00.000Z,42.14,10,377.86,106.86
2018-05-13T00:00:00.000Z,42.71,8,380.14,105
2018-05-14T00:00:00.000Z,42.86,13,391.29,103.86
2018-05-15T00:00:00.000Z,44.71,12,389.71,98.57
2018-05-16T00:00:00.000Z,38.57,19,372,84.43
2018-05-17T00:00:00.000Z,46.71,17,364.14,101.57
2018-05-18T00:00:00.000Z,49.71,12,361.57,94.71
2018-05-19T00:00:00.000Z,47.86,10,344.57,96.29
2018-05-20T00:00:00.000Z,46.57,5,338.86,95.14
2018-05-21T00:00:00.000Z,51,19,344.86,96.86
2018-05-22T00:00:00.000Z,52.86,14,351,100.86
2018-05-23T00:00:00.000Z,48.71,13,344.43,109.71
2018-05-24T00:00:00.000Z,38.57,9,336.29,96.86
2018-05-25T00:00:00.000Z,35.57,8,343.29,94.71
2018-05-26T00:00:00.000Z,35.29,5,355,92
2018-05-27T00:00:00.000Z,34.14,3,362.86,88.57
2018-05-28T00:00:00.000Z,26,10,334.86,83.43
2018-05-29T00:00:00.000Z,23.43,11,318.29,83.43
2018-05-30T00:00:00.000Z,34.57,19,359.71,86.43
2018-05-31T00:00:00.000Z,36.43,14,368.43,87.29
2018-06-01T00:00:00.000Z,39,13,373.57,90.57
2018-06-02T00:00:00.000Z,40.71,13,374.71,93.14
2018-06-03T00:00:00.000Z,45.14,10,392.86,98.29
2018-06-04T00:00:00.000Z,46.29,16,414,95.29
2018-06-05T00:00:00.000Z,48.57,13,440.57,100.71
2018-06-06T00:00:00.000Z,37.86,17,399.86,91.43
2018-06-07T00:00:00.000Z,38.57,16,403,88.43
2018-06-08T00:00:00.000Z,39.57,12,411.71,94.71
2018-06-09T00:00:00.000Z,40.29,2,423,93.14
2018-06-10T00:00:00.000Z,37.14,3,405.43,90
2018-06-11T00:00:00.000Z,40.14,11,402.57,95.71
2018-06-12T00:00:00.000Z,42.57,16,408.57,90.71
2018-06-13T00:00:00.000Z,42.43,13,415.57,92
2018-06-14T00:00:00.000Z,48.57,19,423.57,104.86
2018-06-15T00:00:00.000Z,48,13,418.57,94.71
2018-06-16T00:00:00.000Z,46.14,6,389.14,91.43
2018-06-17T00:00:00.000Z,45.86,6,389.71,90.43
2018-06-18T00:00:00.000Z,44.57,15,379,94.29
2018-06-19T00:00:00.000Z,37.86,11,372,85.57
2018-06-20T00:00:00.000Z,34.29,7,375.14,72.29
2018-06-21T00:00:00.000Z,24,6,352.71,55.14
2018-06-22T00:00:00.000Z,23.29,10,360,57
2018-06-23T00:00:00.000Z,22.29,4,365.43,57.14
2018-06-24T00:00:00.000Z,25.86,5,373.57,61.57
2018-06-25T00:00:00.000Z,22,9,372.43,56.14
2018-06-26T00:00:00.000Z,22.43,8,358.71,68
2018-06-27T00:00:00.000Z,27.43,16,348.71,89.86
2018-06-28T00:00:00.000Z,38.14,11,377.86,105
