Date,Development Activity,Dev. Activity Contributors Count,Dev. Activity (Cryptocurrency),Dev. Activity (Bitcoin)
2018-04-01T00:00:00.000Z,0.43,1,9.29,3.14
2018-04-01T01:00:00.000Z,0.29,0,8.43,2.71
2018-04-01T02:00:00.000Z,0.43,1,9.14,3
2018-04-01T03:00:00.000Z,0.57,1,9.29,3.14
2018-04-01T04:00:00.000Z,0.43,0,8,3.43
2018-04-01T05:00:00.000Z,0.71,1,7.71,3.14
2018-04-01T06:00:00.000Z,0.71,0,5.43,1.29
2018-04-01T07:00:00.000Z,0.57,0,4.43,1.14
2018-04-01T08:00:00.000Z,0.57,0,5,1.14
2018-04-01T09:00:00.000Z,0.43,0,3.71,0.86
2018-04-01T10:00:00.000Z,0.29,0,4.29,0.71
2018-04-01T11:00:00.000Z,0.29,0,4,0.29
2018-04-01T12:00:00.000Z,0,0,4.29,0
2018-04-01T13:00:00.000Z,0,0,6.29,0.14
2018-04-01T14:00:00.000Z,0,0,7.43,0.14
2018-04-01T15:00:00.000Z,0,0,6.14,0.14
2018-04-01T16:00:00.000Z,0,0,5.86,0.14
2018-04-01T17:00:00.000Z,0.14,1,7.14,0.43
2018-04-01T18:00:00.000Z,0.43,1,8,1
2018-04-01T19:00:00.000Z,1.43,1,9.71,2.57
2018-04-01T20:00:00.000Z,1.43,0,10.57,2.43
2018-04-01T21:00:00.000Z,1.43,0,11,2.57
2018-04-01T22:00:00.000Z,2.29,1,13.29,3.71
2018-04-01T23:00:00.000Z,2.29,0,14.57,3.86
2018-04-02T00:00:00.000Z,2.14,0,12.14,4.86
2018-04-02T01:00:00.000Z,1.86,0,12.29,4.29
2018-04-02T02:00:00.000Z,1,1,10.86,3
2018-04-02T03:00:00.000Z,1,0,9,3
2018-04-02T04:00:00.000Z,1.14,1,7.86,3
2018-04-02T05:00:00.000Z,0.43,1,6.29,2
2018-04-02T06:00:00.000Z,1,2,7.57,2.71
2018-04-02T07:00:00.000Z,1,0,7.43,1.43
2018-04-02T08:00:00.000Z,1.29,2,8.71,2
2018-04-02T09:00:00.000Z,1.14,0,7.86,2.14
2018-04-02T10:00:00.000Z,1.14,0,7.14,2.29
2018-04-02T11:00:00.000Z,1.57,2,8,2.86
2018-04-02T12:00:00.000Z,1.86,1,9.14,3.14
2018-04-02T13:00:00.000Z,1.43,1,7.57,3.14
2018-04-02T14:00:00.000Z,1.86,2,9.71,3.86
2018-04-02T15:00:00.000Z,2,3,12.71,5.71
2018-04-02T16:00:00.000Z,2.29,1,15.29,6.43
2018-04-02T17:00:00.000Z,2.86,3,19.43,7
2018-04-02T18:00:00.000Z,2.71,3,21.86,6.86
2018-04-02T19:00:00.000Z,2.57,1,23.57,6.86
2018-04-02T20:00:00.000Z,3.57,4,26.86,7.29
2018-04-02T21:00:00.000Z,3.71,2,27.71,7.29
2018-04-02T22:00:00.000Z,4.14,4,27.43,6.29
2018-04-02T23:00:00.000Z,4,1,25.71,5.43
2018-04-03T00:00:00.000Z,3.43,0,21.57,5.43
2018-04-03T01:00:00.000Z,3,0,19,5.29
2018-04-03T02:00:00.000Z,2.86,1,17.29,5.14
2018-04-03T03:00:00.000Z,1.86,1,13.86,4
2018-04-03T04:00:00.000Z,1.29,0,11.71,3.86
2018-04-03T05:00:00.000Z,0.57,1,7.43,2.71
2018-04-03T06:00:00.000Z,0.43,0,6.71,2.43
2018-04-03T07:00:00.000Z,0.57,1,7.14,2.14
2018-04-03T08:00:00.000Z,0.86,2,7.29,2.43
2018-04-03T09:00:00.000Z,0.71,0,6,3
2018-04-03T10:00:00.000Z,0.57,0,6,3
2018-04-03T11:00:00.000Z,0.57,0,7.43,2.43
2018-04-03T12:00:00.000Z,0.43,0,7.86,4.29
2018-04-03T13:00:00.000Z,0.71,2,10.43,5.29
2018-04-03T14:00:00.000Z,0.57,0,10.71,4.86
2018-04-03T15:00:00.000Z,0.57,1,10.57,6
2018-04-03T16:00:00.000Z,0.71,1,13.29,5.57
2018-04-03T17:00:00.000Z,1.14,1,14,7.14
2018-04-03T18:00:00.000Z,1.43,2,13.43,7.86
2018-04-03T19:00:00.000Z,2,3,14.86,6.43
2018-04-03T20:00:00.000Z,1.86,1,13.57,5.71
2018-04-03T21:00:00.000Z,2,1,15.29,5.86
2018-04-03T22:00:00.000Z,1.86,1,16.86,4.14
2018-04-03T23:00:00.000Z,1.71,0,16.29,3.71
2018-04-04T00:00:00.000Z,1.43,1,15.71,2.14
2018-04-04T01:00:00.000Z,1.29,1,14.57,2
2018-04-04T02:00:00.000Z,0.71,0,12.43,1.71
2018-04-04T03:00:00.000Z,0.57,0,11.29,1.71
2018-04-04T04:00:00.000Z,0.43,0,9.29,1.57
2018-04-04T05:00:00.000Z,0.57,2,7.71,1.86
2018-04-04T06:00:00.000Z,0.57,0,5.43,1.86
2018-04-04T07:00:00.000Z,0.43,0,5,1.86
2018-04-04T08:00:00.000Z,0.43,1,7.14,1.57
2018-04-04T09:00:00.000Z,0.43,0,8.86,1.29
2018-04-04T10:00:00.000Z,1,2,10.71,1.86
2018-04-04T11:00:00.000Z,1.57,3,12.29,2.43
2018-04-04T12:00:00.000Z,1.43,1,11.71,2.29
2018-04-04T13:00:00.000Z,1.71,1,13.57,3
2018-04-04T14:00:00.000Z,2.43,3,16.43,4
2018-04-04T15:00:00.000Z,2.71,2,16,5.29
2018-04-04T16:00:00.000Z,2.86,1,16.29,5.71
2018-04-04T17:00:00.000Z,2.57,1,16.86,5.14
2018-04-04T18:00:00.000Z,2.71,3,17.43,6
2018-04-04T19:00:00.000Z,3.57,5,21.14,8.14
2018-04-04T20:00:00.000Z,3.57,1,22.14,7.71
2018-04-04T21:00:00.000Z,4.14,3,24.43,7.86
2018-04-04T22:00:00.000Z,4.71,5,24.57,7.29
2018-04-04T23:00:00.000Z,4.71,1,24.29,6.86
2018-04-05T00:00:00.000Z,5.57,4,24.43,9.71
2018-04-05T01:00:00.000Z,5.71,3,26.14,9.86
2018-04-05T02:00:00.000Z,4.71,0,22.57,8
2018-04-05T03:00:00.000Z,4.86,2,21,8.86
2018-04-05T04:00:00.000Z,3.86,1,16.86,7.86
2018-04-05T05:00:00.000Z,3,1,15.14,7
2018-04-05T06:00:00.000Z,3,1,13.14,7.14
2018-04-05T07:00:00.000Z,2.71,1,16.71,5.14
2018-04-05T08:00:00.000Z,2.57,3,14.29,4.57
2018-04-05T09:00:00.000Z,2.57,0,14.43,5.71
2018-04-05T10:00:00.000Z,2.29,1,14.14,4.71
2018-04-05T11:00:00.000Z,2.14,1,13.86,4.86
2018-04-05T12:00:00.000Z,2,0,14.57,5.71
2018-04-05T13:00:00.000Z,2,1,17,8.86
2018-04-05T14:00:00.000Z,2.14,4,13.86,9
2018-04-05T15:00:00.000Z,1.71,1,17.14,9.14
2018-04-05T16:00:00.000Z,2,2,18.29,8
2018-04-05T17:00:00.000Z,2.43,2,20.71,10.43
2018-04-05T18:00:00.000Z,4.71,4,25,13.14
2018-04-05T19:00:00.000Z,5.29,4,26.43,12.71
2018-04-05T20:00:00.000Z,6.14,5,29.14,10.29
2018-04-05T21:00:00.000Z,6,3,29.29,9.86
2018-04-05T22:00:00.000Z,6,1,26.14,9.57
2018-04-05T23:00:00.000Z,6.43,3,27.29,11.43
2018-04-06T00:00:00.000Z,6.14,1,24.86,9.57
2018-04-06T01:00:00.000Z,3.71,0,20.57,7
2018-04-06T02:00:00.000Z,3.29,1,19.57,7.86
2018-04-06T03:00:00.000Z,2.29,0,15.29,8.14
2018-04-06T04:00:00.000Z,1.43,0,12.86,8.57
2018-04-06T05:00:00.000Z,1.29,1,11.57,8.71
2018-04-06T06:00:00.000Z,0.86,2,9,6.57
2018-04-06T07:00:00.000Z,0.57,0,8.29,6.71
2018-04-06T08:00:00.000Z,0.57,0,7.29,7.14
2018-04-06T09:00:00.000Z,0.57,1,6,6.14
2018-04-06T10:00:00.000Z,0.57,0,4.86,4.86
2018-04-06T11:00:00.000Z,0.57,0,3.57,3.57
2018-04-06T12:00:00.000Z,0.43,0,3,2.71
2018-04-06T13:00:00.000Z,0.43,2,5.57,3
2018-04-06T14:00:00.000Z,0.43,0,6.29,2.14
2018-04-06T15:00:00.000Z,0.86,3,8.14,1.71
2018-04-06T16:00:00.000Z,2.71,1,13.86,3.43
2018-04-06T17:00:00.000Z,3,2,16,4.29
2018-04-06T18:00:00.000Z,3.86,2,19.29,5.14
2018-04-06T19:00:00.000Z,4.29,1,22.29,5.57
2018-04-06T20:00:00.000Z,4.29,1,21.57,5.29
2018-04-06T21:00:00.000Z,4.43,1,21.43,7.14
2018-04-06T22:00:00.000Z,4.14,1,20.71,7.43
2018-04-06T23:00:00.000Z,2.14,0,15.14,5.57
2018-04-07T00:00:00.000Z,1.86,0,13.29,4.71
2018-04-07T01:00:00.000Z,1,0,10.29,4.43
2018-04-07T02:00:00.000Z,0.57,0,7.14,4.14
2018-04-07T03:00:00.000Z,0.29,0,4.71,4.43
2018-04-07T04:00:00.000Z,0.14,0,3.86,2.57
2018-04-07T05:00:00.000Z,0,0,2.57,1.71
2018-04-07T06:00:00.000Z,0,0,2.43,1.43
2018-04-07T07:00:00.000Z,0.14,1,2.71,2.14
2018-04-07T08:00:00.000Z,0.14,0,2.57,1.57
2018-04-07T09:00:00.000Z,0.14,0,2.43,1.29
2018-04-07T10:00:00.000Z,0.14,0,3.14,0.71
2018-04-07T11:00:00.000Z,0.43,1,3.71,1
2018-04-07T12:00:00.000Z,0.43,0,5,1.29
2018-04-07T13:00:00.000Z,0.43,0,5.86,1.86
2018-04-07T14:00:00.000Z,1.71,2,9.29,2.71
2018-04-07T15:00:00.000Z,2.14,2,9.86,3.29
2018-04-07T16:00:00.000Z,2.86,2,12.29,4.29
2018-04-07T17:00:00.000Z,3.14,1,12.43,5.57
2018-04-07T18:00:00.000Z,3.14,2,12.86,6.57
2018-04-07T19:00:00.000Z,3.14,0,12.14,6.43
2018-04-07T20:00:00.000Z,3.29,1,11,6
2018-04-07T21:00:00.000Z,1.86,0,7.86,5.29
2018-04-07T22:00:00.000Z,1.43,0,7.29,4.71
2018-04-07T23:00:00.000Z,0.71,0,6.14,3.71
2018-04-08T00:00:00.000Z,0.43,0,5.86,2.43
2018-04-08T01:00:00.000Z,0.14,0,4.57,1.14
2018-04-08T02:00:00.000Z,0.86,2,5.57,1.71
2018-04-08T03:00:00.000Z,0.71,0,5.57,1.71
2018-04-08T04:00:00.000Z,0.71,0,4.71,0.86
2018-04-08T05:00:00.000Z,0.71,0,4.29,1.14
2018-04-08T06:00:00.000Z,0.71,0,3.71,1.14
2018-04-08T07:00:00.000Z,0.71,0,3.71,1.14
2018-04-08T08:00:00.000Z,1,1,6.14,1.43
2018-04-08T09:00:00.000Z,0.86,1,6.29,1.43
2018-04-08T10:00:00.000Z,1,1,6.57,1.43
2018-04-08T11:00:00.000Z,1.14,1,7.14,1.57
2018-04-08T12:00:00.000Z,1.43,2,8,2
2018-04-08T13:00:00.000Z,1.86,2,9.57,2.43
2018-04-08T14:00:00.000Z,2.43,1,11.14,3
2018-04-08T15:00:00.000Z,2.71,3,12,3.29
2018-04-08T16:00:00.000Z,2.86,3,11.86,3.29
